,Episode #,Last play from setlist,Days since latest play in setlist,URL,Rerun date,notes,Tip Jar,Theme,Shirt,Notes
3/20/2020,1,7/3/2026,5,https://youtu.be/7M092e2XoLI,,,,,,
3/27/2020,2,4/10/2026,89,https://youtu.be/8OIItLaezQk,,,,,,
4/3/2020,3,5/8/2026,61,https://youtu.be/s0MwmoMYKj8,,,,,,
4/10/2020,4,5/15/2026,54,https://youtu.be/a4UEJSQN9Zw,,,,,,
4/17/2020,5,3/27/2026,103,https://youtu.be/mlWuikMRDGo,,,,,,
4/24/2020,6,7/3/2026,5,https://youtu.be/9EwAG0vUho8,,,,,,
5/1/2020,7,7/3/2026,5,https://youtu.be/QGkAB6VG8VU,,,Project WeHope,,,
5/8/2020,8,5/22/2026,47,https://youtu.be/ODap9wBMyeU,,,Social Justice Sewing Academy,,,
5/15/2020,9,6/5/2026,33,https://youtu.be/nAk_30ixPvc,,,Social Justice Sewing Academy,,,
5/22/2020,10,5/22/2026,47,https://youtu.be/Wa5KVG0iCKM,,,FAVO,,grey + wings,
5/29/2020,11,6/26/2026,12,https://youtu.be/4UMdp7mQUrM,,,Minnesota Freedom Fund,,,FJHH11 project has week 12 songs
6/5/2020,12,7/3/2026,5,https://youtu.be/8aHUkT2wFNc,,,Minnesota Freedom Fund,,,FJHH12 project has week 11 songs
6/12/2020,13,6/5/2026,33,https://youtu.be/zAtVGrsiOCc,,,Second Harvest Food Bank,,black + lion sparkles,
6/19/2020,14,7/3/2026,5,https://youtu.be/JFFsTahEkzg,,,Lorraine Hansberry Theatre,,gold + eagle,
6/26/2020,15,4/10/2026,89,https://youtu.be/LCcBhJKB8YA,,,Outdoor Afro,Keith Jarrett,,
7/3/2020,16,5/29/2026,40,https://youtu.be/pX-E6ZVGrpA,,,Live in Peace Emergency Fund,,gold + eagle,
7/10/2020,17,6/26/2026,12,https://youtu.be/pWeOutFnTGs,,,National Bail Fund Network,,white kuhl,
7/17/2020,18,1/23/2026,166,https://youtu.be/ws1QG2nfN5g,,,Florida Rights Restoration Coalition,,,
7/24/2020,19,6/12/2026,26,https://youtu.be/nNbXig2F9Lc,,,portland freedom fund,,india v-neck,
7/31/2020,20,6/26/2026,12,https://youtu.be/sTwgRPVLycU,,,PATH San Jose,,black + lion sparkles,
8/7/2020,21,5/1/2026,68,https://youtu.be/jqycjkIUaCs,,,PATH San Jose,,,
8/14/2020,22,6/5/2026,33,https://youtu.be/ngdgSgM8f3U,,,Fresh Approach,,,
8/21/2020,23,6/12/2026,26,https://youtu.be/m7JFcEdod0E,5/8/2026,,Community Foundation Santa Cruz County,,,
8/28/2020,24,5/1/2026,68,https://youtu.be/oLyXU2T1ZuA,,yes,Community Foundation Santa Cruz County,,,
9/4/2020,25,4/24/2026,75,https://youtu.be/tCGZLZnLvh4,,yes,Lifemoves,,thailand,
9/11/2020,26,7/3/2026,5,https://youtu.be/texnvgIfzO8,,yes,United Way Fire Fund,,,
9/18/2020,27,7/3/2026,5,https://youtu.be/0LJTLQOLZQM,,yes,The Healing WELL,,,
9/25/2020,28,7/3/2026,5,https://youtu.be/GA-3QzzX3m4,,yes,black votes matter,,grey + wings,
10/2/2020,29,6/5/2026,33,https://youtu.be/5H3aJ1p02Qo,,yes,united way fire,,orange,
10/9/2020,30,5/22/2026,47,https://youtu.be/BOcDB0UTT54,,yes,united way fire,,thailand,
10/16/2020,31,6/26/2026,12,https://youtu.be/QeraCjgLykE,,yes,none,,black + lion sparkles,
10/23/2020,32,7/3/2026,5,https://youtu.be/fk8JSTyNEfM,,yes,raices,,orange,
10/30/2020,33,5/15/2026,54,https://youtu.be/kRuS4bBAE_s,,yes,Sunnyvale Community Services,,alterra coffee,
11/6/2020,34,4/17/2026,82,https://youtu.be/EKJT69DCOnA,,yes,Second Harvest Food Bank,,black + lion sparkles,
11/13/2020,35,6/12/2026,26,https://youtu.be/-1SJwJrjwd0,,yes,second harvest,,thailand,
11/20/2020,36,7/3/2026,5,https://youtu.be/FgUbgdPd9pw,,yes,Navajo Nation COVID GoFundMe,,grey + wings,
11/27/2020,37,5/29/2026,40,https://youtu.be/8W4XQTLdajk,,yes,VotingWorks,,argyle sweater,
12/4/2020,38,6/26/2026,12,https://youtu.be/8ALGHR-ErS0,,yes,Heart + Home Collaborative,,,
12/11/2020,39,6/12/2026,26,https://youtu.be/hfljJ87kgbs,,yes,loavesfishes.org,,linen jacket + blazer,
12/18/2020,40,12/26/2025,194,https://youtu.be/yhWB3cwCzOI,,yes,Oya Organics,,,
12/25/2020,41,12/26/2025,194,https://youtu.be/G-HJYWxotdo,,yes,CityTeam San Jose,Christmas,,
1/1/2021,42,7/3/2026,5,https://youtu.be/i7H03-9N1As,,yes,crowdsourced,Originals,,
1/8/2021,43,5/29/2026,40,https://youtu.be/PcZFKARMaQo,,yes,blackgirlscode.org,,,
1/15/2021,44,4/24/2026,75,https://youtu.be/QkxGwvZFrt8,,yes,urban tilth,,,
1/22/2021,45,6/26/2026,12,https://youtu.be/9MPZ7yfdE6o,,yes,indian health center,,,
1/29/2021,46,6/26/2026,12,https://youtu.be/oVtkuUaMHU8,,yes,Roots Community Health Center,,thailand,
2/5/2021,47,6/5/2026,33,https://youtu.be/n3dKUHIuIlU,,yes,Roots Community Health Center,,,
2/12/2021,48,1/30/2026,159,https://youtu.be/qK4QPjXbR7g,,yes,Si Se Puede Collective,,,
2/19/2021,49,5/22/2026,47,https://youtu.be/3ihtctEf-r8,,yes,Genesis Women's Shelter,,,
2/26/2021,50,5/22/2026,47,https://youtu.be/TKoh0MrsGgs,,yes,Restoring Justice,,,
3/5/2021,51,6/5/2026,33,https://youtu.be/Wxw626FLkDw,,yes,Youth Spirit Artworks,,,
3/12/2021,52,7/3/2026,5,https://youtu.be/lrD9RxOWutM,,yes,Amah Mutsun Land Trust,,,
3/19/2021,53,6/26/2026,12,https://youtu.be/ZgfrgSTJNSo,,yes,Honor the Earth,,,
3/26/2021,54,6/5/2026,33,https://youtu.be/L9jDIlX7bjs,,yes,Humane Society Silicon Valley,,,
4/2/2021,55,5/8/2026,61,https://youtu.be/brtK3KrZ6Io,,yes,MyGood.org,,,
4/9/2021,56,6/26/2026,12,https://youtu.be/RVecTJg5GEs,,yes,SCVAS birdathon,,,
4/16/2021,57,5/29/2026,40,https://youtu.be/l0R4TcCeMAY,,yes,SCVAS birdathon,,,
4/23/2021,58,5/22/2026,47,https://youtu.be/yYYl7DQc0K0,,yes,outdoor afro,,,
4/30/2021,59,7/3/2026,5,https://youtu.be/ItLGYec3rkE,,yes,CASA,,,
5/7/2021,60,4/24/2026,75,https://youtu.be/sZSyy77J_Uc,,yes,nationalbailout.org,,,
5/14/2021,61,3/27/2026,103,https://youtu.be/Bi8XaJ4O-0I,,yes,"sewa, oxygen for india",,,
5/21/2021,62,5/1/2026,68,https://youtu.be/tB5vd6dRUS4,,yes,rich city rides,,,
5/28/2021,63,6/26/2026,12,https://youtu.be/m7hZS9rLGO0,,yes,billwilsoncenter.org,,,
6/4/2021,64,5/29/2026,40,https://youtu.be/S_oefge4qcQ,,,hamiltonfamilies.org,,,
6/11/2021,65,5/15/2026,54,https://youtu.be/ZnlVVoHkbCE,,,charles roundtree bloom,,,
6/18/2021,66,5/29/2026,40,https://youtu.be/OptqncNOQyA,,,SJAACSA,,,
6/25/2021,67,6/26/2026,12,https://youtu.be/BVJuigptxSA,,,indian residential school survivors,,,
7/2/2021,68,6/26/2026,12,https://youtu.be/eJgSZO-IkTg,,,skype a scientist,,,
7/9/2021,69,6/26/2026,12,https://youtu.be/LcOwt_X_aog,,,h+H,,,
7/16/2021,70,5/22/2026,47,https://youtu.be/yaLXVIw0nxE,,,h+H,,,
7/23/2021,71,5/29/2026,40,https://youtu.be/8xnSYgneRlI,,,asombro.org,,,
7/30/2021,72,7/3/2026,5,https://youtu.be/SFHGArSt8qo,,,"h+h, zebra youth",,,
8/6/2021,73,3/6/2026,124,https://youtu.be/WOvFSmKeHH4,,for March 2026 rerun,norcalunitedway.org fire relief,,orange op art,
8/13/2021,74,6/12/2026,26,https://youtu.be/jOeFADhEs7c,,,ourcityforest.org,,,
8/20/2021,75,4/17/2026,82,https://youtu.be/wIeo7pq_84U,8/3/2025,,lirs.org,,,
8/27/2021,76,5/22/2026,47,https://youtu.be/uMmr2KPqqpk,,,latinocf.org,,,
9/3/2021,77,6/26/2026,12,https://youtu.be/Rg_ZLaPOj64,,,sfshakes.org,,,
9/10/2021,78,6/26/2026,12,https://youtu.be/NuXghDNajFw,,,fundtexaschoice.org,,,
9/17/2021,79,6/26/2026,12,https://youtu.be/YaW8IPNpcd0,,,mcceastbay.org,,,
9/24/2021,80,4/24/2026,75,https://youtu.be/HM_6QdDeBy4,,,streetlifeministries.org,,,
10/1/2021,81,7/3/2026,5,https://youtu.be/xQLCSsoW8d8,,,https://www.gofundme.com/f/ida-relief-for-pointeauchien-indian-tribe,,,
10/8/2021,82,5/29/2026,40,https://youtu.be/y6pNfq5ndEU,,,preventblindness.org,,,
10/15/2021,83,6/12/2026,26,https://youtu.be/txLo5jOwNGU,,,aicls.org,,,
10/22/2021,84,6/5/2026,33,https://youtu.be/reLwPwmrFZk,,,aicls.org,,,
10/29/2021,85,5/22/2026,47,https://youtu.be/fl775dpKhP0,,,AUGH,,,
11/5/2021,86,6/26/2026,12,https://youtu.be/iRH85IdbcpY,,,musicforautism.org,,,
11/12/2021,87,6/26/2026,12,https://youtu.be/BLyftIJ9xhI,,,gotrbayarea.org,,,
11/19/2021,88,6/12/2026,26,https://youtu.be/mrX0hOrHI2A,,Magenta??,sentencingproject.org,,,
11/26/2021,89,4/24/2026,75,https://youtu.be/gojpuqP3s6A,,,,,,
12/3/2021,90,4/17/2026,82,https://youtu.be/cwkUkcDyfaw,,,,,,
12/10/2021,91,6/26/2026,12,https://youtu.be/vr3lHzT6u9s,,,,,,
12/17/2021,92,4/17/2026,82,https://youtu.be/-MgcGR7PIMg,,,,,,
12/24/2021,93,12/26/2025,194,https://youtu.be/oIJ5iubhwRg,,,,,,
12/31/2021,94,6/26/2026,12,https://youtu.be/Rcivz__GFo4,,,,,,
1/7/2022,95,3/6/2026,124,https://youtu.be/lnzNHv36_sI,,,,,,
1/14/2022,96,6/12/2026,26,https://youtu.be/VAUYw5v0RiQ,,,ripmedicaldebt.org,,,
1/21/2022,97,7/3/2026,5,https://youtu.be/vFJFp1oRZE8,,,,,,
1/28/2022,98,6/26/2026,12,https://youtu.be/zEpV0UCl2es,,,,,,
2/4/2022,99,4/24/2026,75,https://youtu.be/gK7O90mHgQ4,,,,,,
2/11/2022,100,5/15/2026,54,https://youtu.be/6Wlh1-UXkrs,,yes,the viewers themselves,,,
2/18/2022,101,6/26/2026,12,https://youtu.be/3mAFWZBR_QU,,yes,,,,
2/25/2022,102,5/29/2026,40,https://youtu.be/f8SEdxjiIMM,,yes,,,,
3/4/2022,103,6/26/2026,12,https://youtu.be/FJztyT2596g,,yes,,,,
3/11/2022,104,4/24/2026,75,https://youtu.be/9YCarBEto_w,,yes,,,,
3/18/2022,105,4/24/2026,75,https://youtu.be/BddGe4Ag9_M,7/11/2025,yes,already reran,,,
3/25/2022,106,5/29/2026,40,https://youtu.be/-yO13Zr2O50,,yes,,,,
4/1/2022,107,6/26/2026,12,https://youtu.be/XB_QekGAhUU,,yes,Rich City Rides,,,
4/8/2022,108,7/3/2026,5,https://youtu.be/47KbvV1znH8,,yes,,,,
4/15/2022,109,7/3/2026,5,https://youtu.be/ie-BmPj4-rQ,,,,,,
4/22/2022,110,5/1/2026,68,https://youtu.be/BLBnVY8iUBg,,,,,,
4/29/2022,111,6/12/2026,26,https://youtu.be/leI4x1fedrQ,,,,,,
5/6/2022,112,4/24/2026,75,https://youtu.be/EnurztZItgI,,,,,,
5/13/2022,113,6/26/2026,12,https://youtu.be/nAFvdIaHBQc,,,,,,
5/20/2022,114,5/22/2026,47,https://youtu.be/Wmyvd2LlVw0,5/22/2026,,,,,
5/27/2022,115,7/3/2026,5,https://youtu.be/Z7yciUtcOsk,,,,,,
6/3/2022,116,5/29/2026,40,https://youtu.be/58cVCBMx1oI,,,,,,
6/10/2022,117,6/26/2026,12,https://youtu.be/Um0wMxG_j1k,,,saved by nature,,,
6/17/2022,118,7/3/2026,5,https://youtu.be/xBJwSJ8nljM,,,,,,
6/24/2022,119,6/5/2026,33,https://youtu.be/XiFXST5UZ0E,,,midwest access coalition,,,
7/1/2022,120,5/1/2026,68,https://youtu.be/eIUxG9vQkiw,,,,,,
7/8/2022,121,6/26/2026,12,https://youtu.be/yr0e-0JaG4U,,,,,,
7/15/2022,122,3/20/2026,110,https://youtu.be/vl789QxMIG4,,for March 2026 rerun,,,,
7/22/2022,123,7/3/2026,5,https://youtu.be/D42v7I8kocA,,,,,,
7/29/2022,124,7/3/2026,5,https://youtu.be/ym09Bs8Bj2g,,,,,,
8/5/2022,125,4/24/2026,75,https://youtu.be/3bVGI3r8vCY,,,,,,
8/12/2022,126,6/12/2026,26,https://youtu.be/-mLt1LbOZ8Y,,,,,,
8/19/2022,127,5/1/2026,68,https://youtu.be/VXmjfiJz2ZM,,,,,,
8/26/2022,128,5/22/2026,47,https://youtu.be/O9QM80LF2bA,,,,,,
9/2/2022,129,7/3/2026,5,https://youtu.be/bIdPZtsIf-M,,,Mississippi Rapid Response Coalition,,,
9/9/2022,130,6/26/2026,12,https://youtu.be/le4SSqcmJHM,,,,,,
9/16/2022,131,5/29/2026,40,https://youtu.be/2NNZE3aK5FA,,,,,,
9/23/2022,132,3/20/2026,110,https://youtu.be/ngSqqLNxvgo,,,,,,
9/30/2022,133,6/26/2026,12,https://youtu.be/B3o-4sC6Z6w,,,,,,
10/7/2022,134,6/26/2026,12,https://youtu.be/i_sLaxvBK_E,,,,,,
10/14/2022,135,6/12/2026,26,https://youtu.be/hs2qWsSLfxY,,,,,,
10/21/2022,136,6/5/2026,33,https://youtu.be/EjTzhzPyVGo,,,,,,
10/28/2022,137,5/8/2026,61,https://youtu.be/Vyo_oTHKhUY,,,,,,
11/4/2022,138,7/3/2026,5,https://youtu.be/8XM8B7y4T_Q,,,,,,
11/11/2022,138.1,12/30/1899,46211,https://youtu.be/81DeZKQLOhA,,,,,,
11/18/2022,138.2,12/30/1899,46211,https://youtu.be/SVwUKEb-XW4,,,,,,
11/25/2022,138.3,12/30/1899,46211,https://youtu.be/G9tzU1G_Xm4,,,,,,
12/2/2022,139,6/26/2026,12,https://youtube.com/live/ezlBzx7DvTU,,,,,,
12/9/2022,140,6/26/2026,12,https://youtube.com/live/2vM_dR9jpjk,,,,,,
12/16/2023,141,5/22/2026,47,https://youtube.com/live/676nV2NzygY,,,,,,
12/23/2022,142,5/29/2026,40,https://youtube.com/live/iH6lwOJ7Gb4,,,,,,
12/30/2023,143,7/3/2026,5,https://youtube.com/live/ayeY3t9WvGA,,,,,,
1/6/2023,144,7/3/2026,5,https://youtube.com/live/AgOf7ObdkGY,,,,,,
1/13/2023,145,6/12/2026,26,https://youtube.com/live/twnyETfghJY,,,,,,
1/20/2023,146,5/29/2026,40,https://youtube.com/live/_UbYlUluq8M,,,,,,
1/27/2023,147,6/5/2026,33,https://youtube.com/live/Br0IvlZAJVs,,,,,,
2/3/2023,148,7/3/2026,5,https://youtube.com/live/kyx5vcS24Tk,,,,,,
2/10/2023,149,5/8/2026,61,https://youtube.com/live/9WTFsLMNhHk,,,,,,
2/17/2023,150,5/1/2026,68,https://youtube.com/live/Lfke1fj6Wh0,,,,,,
2/24/2023,151,6/12/2026,26,https://youtube.com/live/Ob4J0wJZpyI,,,,,,
